Month,AvgTemp,Precipitation
January,-3.2,37
February,-2.3,39
March,2.5,40
April,10.0,42
May,15.8,65
June,19.5,74
July,21.3,68
August,20.4,56
September,14.9,58
October,8.6,46
November,2.6,46
December,-1.8,47
